0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Label
0.23,0.109491,0.126639,0.133771,0.226415,0.621045,0.409283,0.0,9.3e-05,1.5e-05,0.0,0.00722,0.0,0.036955,0.003551,0.029287,0.0,0.0,0.002313,0.010801,0.005868,0.048771,0.071429,0.08159,0.2,0.076923,0.0,0.019937,0.0,0.0,0.048009,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0
0.25,0.108856,0.127133,0.134034,0.226415,0.547274,0.336979,0.0,9.3e-05,1.5e-05,0.0,0.009025,0.0,0.039263,0.004129,0.033049,0.0,0.0,0.012608,0.026177,0.017331,0.075205,0.107143,0.158996,0.2,0.153846,0.0,0.037677,0.0,0.0,0.075177,0.0,0.0,0.055556,0.0,0.5,0.0,0.0,0
0.24,0.122807,0.130843,0.135348,0.226415,0.47845,0.264758,0.0,0.000653,0.000134,8e-06,0.018051,0.0,0.098578,0.009166,0.092418,0.0,0.0,0.153405,0.026368,0.156491,0.213701,0.0,0.158996,0.2,0.15812,0.0,0.178807,0.0,0.0,0.212877,0.0,0.0,0.069444,0.0,0.0,0.0,0.0,0
0.23,0.109279,0.128617,0.134823,0.226415,0.484109,0.26484,0.0,0.001026,0.000134,8e-06,0.01444,0.0,0.101977,0.012923,0.091363,0.0,0.0,0.002267,0.01042,0.005663,0.04691,0.071429,0.154812,0.2,0.147436,0.0,0.019309,0.0,0.0,0.046148,0.0,0.25,0.090278,0.0,0.0,0.0,0.0,0
0.24,0.096174,0.125402,0.133771,0.226415,0.484959,0.264939,0.0,0.000187,1.5e-05,0.0,0.023466,0.0,0.026321,0.009579,0.022571,0.0,0.0,0.00233,0.010611,0.005834,0.048027,0.0,0.154812,0.0,0.153846,0.0,0.01978,0.0,0.0,0.047637,0.0,0.0,0.055556,0.0,0.0,0.0,0.0,0
0.29,0.153879,0.137769,0.137976,0.226415,0.566229,0.337308,0.0,0.008489,0.022781,0.041813,0.101083,0.03,0.045562,0.061519,0.032304,0.0,0.0,0.002358,0.013152,0.006315,0.059196,0.0,0.161088,0.2,0.160256,0.0,0.022135,0.0,0.0,0.059174,0.0,0.25,0.138889,0.0,0.0,0.0,0.0,0
0.24,0.123653,0.135296,0.137451,0.226415,0.566159,0.332621,0.0,9.3e-05,5e-06,0.0,0.01083,0.0,0.029377,0.005078,0.022471,0.0,0.0,0.002324,0.014486,0.005903,0.050633,0.0,0.07113,0.2,0.07265,0.0,0.020251,0.0,0.0,0.050242,0.0,0.0,0.048611,0.0,0.0,0.0,0.0,0
0.24,0.116889,0.134801,0.137714,0.226415,0.489264,0.255728,0.0,0.00056,0.000129,8e-06,0.021661,0.0,0.090813,0.007721,0.082101,0.0,0.0,0.067434,0.017536,0.070764,0.117275,0.0,0.073222,0.2,0.070513,0.0,0.087127,0.0,0.0,0.116859,0.0,0.25,0.0625,0.0,0.0,0.0,0.0,0
0.25,0.117734,0.136038,0.138502,0.226415,0.496589,0.258508,0.0,0.000187,0.000387,2.4e-05,0.036101,0.0,0.033587,0.00706,0.026059,0.0,0.0,0.006568,0.018426,0.011188,0.066642,0.0,0.167364,0.2,0.16453,0.0,0.028414,0.0,0.0,0.066989,0.0,0.25,0.090278,0.0,0.0,0.0,0.0,0
0.23,0.11097,0.134306,0.138239,0.226415,0.50164,0.261205,0.0,9.3e-05,3.1e-05,0.0,0.019856,0.0,0.048993,0.004459,0.040473,0.0,0.0,0.002276,0.010293,0.005731,0.04691,0.071429,0.16318,0.0,0.15812,0.0,0.019466,0.0,0.0,0.04652,0.0,0.25,0.055556,0.0,0.0,0.0,0.0,0
0.23,0.105897,0.131338,0.137188,0.226415,0.503793,0.261254,0.0,9.3e-05,5e-06,0.0,0.00722,0.0,0.026664,0.003675,0.022546,0.0,0.0,0.002313,0.010674,0.005834,0.048027,0.071429,0.158996,0.0,0.155983,0.0,0.01978,0.0,0.0,0.047265,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0
0.23,0.113718,0.13307,0.137976,0.226415,0.506119,0.261369,0.0,0.000187,5e-06,0.0,0.00722,0.0,0.039419,0.006482,0.031621,0.0,0.0,0.002281,0.01042,0.005731,0.047282,0.0,0.156904,0.0,0.153846,0.0,0.019309,0.0,0.0,0.046148,0.0,0.25,0.076389,0.0,0.0,0.0,0.0,0
0.24,0.111816,0.131833,0.137714,0.226415,0.508427,0.261485,0.0,9.3e-05,0.0,0.0,0.00722,0.0,0.024481,0.004666,0.020522,0.0,0.0,0.002318,0.010611,0.005834,0.048027,0.0,0.154812,0.0,0.155983,0.0,0.01978,0.0,0.0,0.047265,0.0,0.0,0.069444,0.0,0.0,0.0,0.0,0
0.23,0.111182,0.130349,0.137188,0.226415,0.510701,0.261534,0.0,9.3e-05,0.0,0.0,0.009025,0.0,0.038982,0.004088,0.03177,0.0,0.0,0.002284,0.010484,0.005731,0.047282,0.071429,0.073222,0.0,0.068376,0.0,0.019623,0.0,0.0,0.047265,0.0,0.25,0.0625,0.0,0.0,0.0,0.0,0
0.23,0.114352,0.130843,0.137188,0.226415,0.51294,0.26155,0.0,0.0,0.0,0.0,0.005415,0.0,0.026788,0.002436,0.022521,0.0,0.0,0.002313,0.010484,0.0058,0.047655,0.0,0.07113,0.0,0.070513,0.0,0.01978,0.0,0.0,0.047265,0.0,0.0,0.020833,0.0,0.0,0.0,0.0,0
0.26,0.12175,0.13307,0.137976,0.226415,0.515249,0.261649,0.0,9.3e-05,0.0,0.0,0.005415,0.0,0.043255,0.004005,0.031745,0.0,0.0,0.00233,0.011945,0.006212,0.058079,0.0,0.073222,0.2,0.068376,0.0,0.021664,0.0,0.0,0.057313,0.0,0.0,0.041667,0.0,0.0,0.0,0.0,0
0.23,0.114775,0.130843,0.137451,0.226415,0.51754,0.261731,0.0,9.3e-05,0.0,0.0,0.00722,0.0,0.026913,0.004748,0.022459,0.0,0.0,0.002327,0.011437,0.005868,0.049144,0.0,0.077406,0.2,0.074786,0.0,0.019937,0.0,0.0,0.048381,0.0,0.25,0.076389,0.0,0.0,0.0,0.0,0
0.28,0.113295,0.132327,0.137976,0.226415,0.748781,0.478758,0.0,9.3e-05,1.5e-05,0.0,0.012635,0.0,0.031778,0.003509,0.025029,0.0,0.0,0.002264,0.010611,0.005765,0.049144,0.0,0.085774,0.4,0.081197,0.0,0.019937,0.0,0.0,0.048753,0.0,0.5,0.375,0.0,0.0,0.0,0.0,0
0.24,0.103149,0.128617,0.136662,0.226415,0.980386,0.695801,0.0,0.000187,1.5e-05,0.0,0.00722,0.0,0.052953,0.005161,0.043267,0.0,0.0,0.013511,0.011437,0.016988,0.056962,0.071429,0.083682,0.2,0.07906,0.0,0.032653,0.0,0.0,0.056569,0.0,0.25,0.0625,0.0,0.0,0.0,0.0,0
